CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage
jcodec12,jcodec,12,"org.jcodec.codecs.h264.encode.MBEncoderI16x16.luma(Picture,int,int,BitWriter,int,Picture,CAVLC)",-1,21,-1,1,-1,1,21,4,2,21,3,1,0.19047619,0.095238095,0.142857143,0.047619048,2,13,2,2,13,2,0,95,1
jcodec126,jcodec,126,"org.jcodec.codecs.h264.encode.MBEncoderI16x16.chroma(Picture,int,int,BitWriter,int,Picture)",-1,14,-1,1,-1,1,14,4,4,14,7,6,0.285714286,0.285714286,0.5,0.428571429,1,12,-1,1,12,-1,0,81,1
jcodec147,jcodec,147,"org.jcodec.codecs.h264.encode.MBEncoderP16x16.chroma(Picture,int[],int[],int,int,BitWriter,int)",-1,24,-1,1,-1,1,24,1,1,24,14,10,0.041666667,0.041666667,0.583333333,0.416666667,9,16,81,9,16,81,0,147,1
jcodec17,jcodec,17,"org.jcodec.codecs.h264.encode.MBEncoderP16x16.mvEstimate(Picture,int,int,int,int)",-1,15,-1,1,-1,1,15,1,1,15,6,4,0.066666667,0.066666667,0.4,0.266666667,1,4,1,1,4,1,0,33,1
jcodec176,jcodec,176,"org.jcodec.codecs.h264.encode.MBEncoderP16x16.encodeMacroblock(Picture,int,int,BitWriter,EncodedMB,EncodedMB,EncodedMB,int,int)",-1,22,-1,1,-1,1,22,7,4,22,8,5,0.318181818,0.181818182,0.363636364,0.227272727,8,38,32,8,38,32,11,462,0.976744186
jcodec179,jcodec,179,"org.jcodec.codecs.h264.encode.MBEncoderI16x16.lumaDCPred(int,int,byte[][])",-1,22,-1,1,-1,1,22,3,3,22,9,9,0.136363636,0.136363636,0.409090909,0.409090909,7,15,15,7,15,15,0,82,1
jcodec202,jcodec,202,"org.jcodec.codecs.h264.encode.MBEncoderI16x16.predictChroma(Picture,int[][],byte[][],int,int,int)",-1,20,-1,1,-1,1,20,2,2,20,12,12,0.1,0.1,0.6,0.6,1,9,-1,1,9,-1,0,121,1
jcodec208,jcodec,208,org.jcodec.common.ArrayUtil.toByteArrayShifted(int...),-1,28,-1,1,-1,1,28,1,1,28,9,7,0.035714286,0.035714286,0.321428571,0.25,2,5,2,2,5,2,0,23,1
jcodec227,jcodec,227,"org.jcodec.codecs.h264.encode.MBEncoderP16x16.writeAC(int,int,int,BitWriter,int,int,int[][],int)",-1,20,-1,1,-1,1,20,1,0,20,8,5,0.05,0,0.4,0.25,2,5,2,2,5,2,0,44,1
jcodec245,jcodec,245,"org.jcodec.codecs.h264.encode.MBEncoderP16x16.median(int,int,int,int,boolean,boolean,boolean,boolean)",-1,17,-1,1,-1,1,17,8,5,17,10,10,0.470588235,0.294117647,0.588235294,0.588235294,8,11,64,8,11,64,0,56,1
jcodec261,jcodec,261,"org.jcodec.codecs.h264.encode.MBEncoderI16x16.encodeMacroblock(Picture,int,int,BitWriter,EncodedMB,EncodedMB,EncodedMB,int,int)",-1,21,-1,1,-1,1,21,4,4,21,12,12,0.19047619,0.19047619,0.571428571,0.571428571,1,8,-1,1,8,-1,0,42,1
jcodec292,jcodec,292,"org.jcodec.common.Assert.assertEquals(int,int)",-1,14,-1,1,-1,1,14,3,2,14,8,5,0.214285714,0.142857143,0.571428571,0.357142857,2,3,2,2,3,2,0,8,1
jcodec323,jcodec,323,org.jcodec.common.tools.Debug.trace(Object...),-1,23,-1,1,-1,1,23,4,4,23,8,8,0.173913043,0.173913043,0.347826087,0.347826087,3,5,3,3,5,3,22,3,0.12
jcodec340,jcodec,340,"org.jcodec.codecs.h264.encode.MBEncoderI16x16.chromaPredBlk1(int,int,int,byte[])",-1,23,-1,1,-1,1,23,3,3,23,7,7,0.130434783,0.130434783,0.304347826,0.304347826,4,11,6,4,11,6,0,47,1
